"~id","~start_node_id","~end_node_id","~relationship_type"
"1161944097024377131","299","6196","WROTE"
"1152936897769636141","301","298","WROTE"
"1155188697583321389","301","300","WROTE"
"1157440497397006637","301","302","WROTE"
"1159692297210691885","301","476","WROTE"
"1161944097024377133","301","478","WROTE"
"1164195896838062381","301","1060","WROTE"
"1166447696651747629","301","1071","WROTE"
"1168699496465432877","301","1137","WROTE"
"1170951296279118125","301","1139","WROTE"
"1173203096092803373","301","5727","WROTE"
"1152936897769636151","311","308","WROTE"
"1152936897769636155","315","313","WROTE"
"1155188697583321403","315","493","WROTE"
"1157440497397006651","315","495","WROTE"
"1159692297210691899","315","2294","WROTE"
"1152936897769636157","317","314","WROTE"
"1155188697583321405","317","316","WROTE"
"1157440497397006653","317","318","WROTE"
"1159692297210691901","317","320","WROTE"
"1161944097024377149","317","3241","WROTE"
"1164195896838062397","317","11422","WROTE"
"1152936897769636168","328","326","WROTE"
"1155188697583321416","328","6806","WROTE"
"1157440497397006664","328","10099","WROTE"
"1159692297210691912","328","11523","WROTE"
"1152936897769636170","330","327","WROTE"
"1155188697583321418","330","1278","WROTE"
"1157440497397006666","330","1287","WROTE"
"1159692297210691914","330","1289","WROTE"
"1161944097024377162","330","1295","WROTE"
"1164195896838062410","330","1304","WROTE"
"1166447696651747658","330","1307","WROTE"
"1168699496465432906","330","5927","WROTE"
"1152936897769636173","333","329","WROTE"
"1155188697583321421","333","2453","WROTE"
"1157440497397006669","333","3106","WROTE"
"1159692297210691917","333","3109","WROTE"
"1161944097024377165","333","3147","WROTE"
"1164195896838062413","333","3149","WROTE"
"1166447696651747661","333","4158","WROTE"
"1168699496465432909","333","4159","WROTE"
"1170951296279118157","333","4166","WROTE"
"1173203096092803405","333","4168","WROTE"
"1175454895906488653","333","7159","WROTE"
"1177706695720173901","333","7197","WROTE"
"1179958495533859149","333","7891","WROTE"
"1182210295347544397","333","7897","WROTE"
"1184462095161229645","333","7898","WROTE"
"1186713894974914893","333","7906","WROTE"
"1188965694788600141","333","7909","WROTE"
"1191217494602285389","333","7910","WROTE"
"1193469294415970637","333","7911","WROTE"
"1195721094229655885","333","7912","WROTE"
"1152936897769636177","337","334","WROTE"
"1155188697583321425","337","6556","WROTE"
"1152936897769636184","344","341","WROTE"
"1155188697583321432","344","3205","WROTE"
"1157440497397006680","344","3222","WROTE"
"1159692297210691928","344","3246","WROTE"
"1161944097024377176","344","3248","WROTE"
"1164195896838062424","344","3267","WROTE"
"1166447696651747672","344","4028","WROTE"
"1168699496465432920","344","4065","WROTE"
"1152936897769636187","347","343","WROTE"
"1155188697583321435","347","408","WROTE"
"1157440497397006683","347","450","WROTE"
"1159692297210691931","347","456","WROTE"
"1161944097024377179","347","5831","WROTE"
"1164195896838062427","347","5959","WROTE"
"1166447696651747675","347","5960","WROTE"
"1168699496465432923","347","6156","WROTE"
"1170951296279118171","347","6496","WROTE"
"1173203096092803419","347","6529","WROTE"
"1175454895906488667","347","6578","WROTE"
"1177706695720173915","347","9695","WROTE"
"1152936897769636188","348","346","WROTE"
"1155188697583321436","348","2302","WROTE"
"1157440497397006684","348","3184","WROTE"
"1159692297210691932","348","8889","WROTE"
"1152936897769636191","351","346","WROTE"
"1152936897769636192","352","350","WROTE"
"1152936897769636194","354","350","WROTE"
"1152936897769636196","356","353","WROTE"
"1152936897769636198","358","355","WROTE"
"1152936897769636199","359","357","WROTE"
"1152936897769636202","362","357","WROTE"
"1152936897769636203","363","361","WROTE"
"1155188697583321451","363","8329","WROTE"
"1157440497397006699","363","8331","WROTE"
"1159692297210691947","363","10155","WROTE"
"1152936897769636204","364","361","WROTE"
"1152936897769636205","365","361","WROTE"
"1152936897769636207","367","361","WROTE"
"1152936897769636208","368","366","WROTE"
"1152936897769636211","371","366","WROTE"
